"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 2160878 B1 20170329";"20170329";"201713";"en";"US 913743 P 20070424
US 914216 P 20070426
US 970311 P 20070906
US 971470 P 20070911";"20070424
20070426
20070906
20070911";"20070424";"WO2008131462 20081030 [2008-44]";"US2008061745 20080428 (en)";"20080428";"";"";"";"H04L 27/26 (2006.01)
H04J 13/00 (2011.01)";"Plano, TX 75025
Allen, TX 75013
GR-11144 Athens";"US
US
GR";"Dallas, TX 75265-5474";"US";"85356 Freising";"DE";"COMPUTER GENERATED SEQUENCES FOR DOWNLINK AND UPLINK SIGNALS IN WIRELESS COMMUNICATION SYSTEMS";""
"EP 2170491 A1 20100407";"20100407";"201014";"en";"US 812886 20070622";"20070622";"20070622";"WO2009002626 20081231 [2009-01]";"US2008063623 20080515 (en)";"20080515";"";"";"";"B01D 59/44 (2006.01)";"35463 Fernwald
Las Cruces, New Mexico 88005
GR-161-21 Athens";"DE
US
GR";"Kyoto-shi, Kyoto-fu 604-8511";"JP";"81541 München";"DE";"METHOD AND APPARATUS FOR DIGITAL DIFFERENTIAL ION MOBILITY SEPARATION";""
"EP 2170491 B1 20181010";"20181010";"201841";"en";"US 812886 20070622";"20070622";"20070622";"WO2009002626 20081231 [2009-01]";"US2008063623 20080515 (en)";"20080515";"";"";"";"G01N 27/62 (2006.01)";"35463 Fernwald
Las Cruces, New Mexico 88005
GR-161-21 Athens";"DE
US
GR";"Kyoto-shi, Kyoto-fu 604-8511";"JP";"81379 München";"DE";"METHOD AND APPARATUS FOR DIGITAL DIFFERENTIAL ION MOBILITY SEPARATION";""
"EP 2176796 A2 20100421";"20100421";"201016";"en";"US 948907 P 20070710";"20070710";"20070710";"WO2009009123 20090115 [2009-03]";"US2008008509 20080710 (en)";"20080710";"";"";"";"G06F 17/30 (2006.01)";"Los Altos, California 94024
Champaign, Illinois 61820
GR-26443 Patras
GR-26443 Patras
GR-26331 Patras";"US
US
GR
GR
GR";"Mountain View, CA 94043";"US";"London WC1V 6BX";"GB";"METHOD FOR MEDIA DISCOVERY";""
"EP 2178380 A2 20100428";"20100428";"201017";"en";"GR 20070100461 20070718";"20070718";"20070718";"WO2009010567 20090122 [2009-04]";"EP2008059402 20080717 (en)";"20080717";"";"";"";"A01N 65/00 (2009.01)
A01P 3/00 (2006.01)
A01P 1/00 (2006.01)";"GR-26442 Patras
63329 Egelsbach
35394 Giessen
35633 Lahnau
35844 Wetzlar";"GR
DE
DE
DE
DE";"Dr.-Hans-Wilhelmi-Weg 1 35633 Lahnau";"DE";"35390 Giessen";"DE";"A PROCESS FOR THE PRODUCTION OF A STORAGE STABLE FUNGICIDAL EXTRACT OF GLYCYRRHIZA GLABRA FOR THE CONTROL OF PHYTOPATHOGENIC FUNGI AND OTHER PLANT DISEASES";""
"EP 2178380 B1 20170517";"20170517";"201720";"en";"GR 20070100461 20070718";"20070718";"20070718";"WO2009010567 20090122 [2009-04]";"EP2008059402 20080717 (en)";"20080717";"";"";"";"A01N 65/20 (2009.01)
A01P 3/00 (2006.01)
A01P 1/00 (2006.01)";"GR-26442 Patras
63329 Egelsbach
35394 Giessen
35633 Lahnau
35844 Wetzlar";"GR
DE
DE
DE
DE";"35633 Lahnau";"DE";"35390 Gießen";"DE";"A PROCESS FOR THE PRODUCTION OF A STORAGE STABLE FUNGICIDAL EXTRACT OF GLYCYRRHIZA GLABRA FOR THE CONTROL OF PHYTOPATHOGENIC FUNGI AND OTHER PLANT DISEASES";""
"EP 2178380 B8 W1B1 20170816";"20170816";"201733";"en";"GR 20070100461 20070718";"20070718";"20070718";"WO2009010567 20090122 [2009-04]";"EP2008059402 20080717 (en)";"20080717";"";"";"";"A01N 65/20 (2009.01)
A01P 3/00 (2006.01)
A01P 1/00 (2006.01)";"GR-26442 Patras
63329 Egelsbach
35394 Giessen
35633 Lahnau
35844 Wetzlar";"GR
DE
DE
DE
DE";"35633 Lahnau";"DE";"35390 Gießen";"DE";"A PROCESS FOR THE PRODUCTION OF A STORAGE STABLE FUNGICIDAL EXTRACT OF GLYCYRRHIZA GLABRA FOR THE CONTROL OF PHYTOPATHOGENIC FUNGI AND OTHER PLANT DISEASES";""
"EP 2179198 A1 20100428";"20100428";"201017";"de";"DE 102007032630 20070711";"20070711";"20070711";"WO2009006929 20090115 [2009-03]";"EP2007009953 20071117 (de)";"20071117";"";"";"";"F16H 48/14 (2006.01)";"71364 Winnenden
GR-10447 Athen";"DE
GR";"71364 Winnenden";"DE";"71364 Winnenden";"DE";"DIFFERENTIAL GEARING";""
"EP 2179198 B1 20150708";"20150708";"201528";"de";"DE 102007032630 20070711";"20070711";"20070711";"WO2009006929 20090115 [2009-03]";"EP2007009953 20071117 (de)";"20071117";"";"";"";"F16H 48/14 (2006.01)";"71364 Winnenden
GR-10447 Athen";"DE
GR";"71364 Winnenden";"DE";"71364 Winnenden";"DE";"DIFFERENTIAL GEARING";""
"EP 2179707 A1 20100428";"20100428";"201017";"en";"";"";"20081021";"";"";"";"";"";"";"A61F 2/00 (2006.01)
A61B 17/04 (2006.01)";"21000 Varese
11528 Athens
Potter St. Hill Pinner Mddx HA5 3XH
22063 Cantù (CO)
22063 Cantù (CO)";"IT
GR
GB
IT
IT";"22063  Cantù (CO)";"IT";"20124 Milano";"IT";"Device for the treatment of female urinary incontinence and genital prolapse";"The device comprises anchoring means (3) in the form of an arrowhead or wedge applied at the free extremities of a tape (2) made of a synthetic macro-porous material or a prosthetic material replacing the facial tissue, where said anchoring means are fitted with gripping elements provided along the profile and on the surface in the form of projecting crests (4, 5, 7, 8) and pins (9) and a concavity (6) provided on each of the opposite faces to position the extremities of a forceps or other suitable instrument, while said cavities (6) are fitted with transversal gripping elements (13) and the anchoring means are optionally curved in their main plane. <img file=""imgaf001.tif"" he=""89"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""113""/>"
"EP 2181427 A2 20100505";"20100505";"201018";"en";"US 958742 P 20070709";"20070709";"20070709";"WO2009007410 20090115 [2009-03]";"EP2008058953 20080709 (en)";"20080709";"";"";"";"G06Q 30/00 (2006.01)";"GR-15237 Athens
GR-15452 Athens
GR-15342 Athens
GR-14451 Metamorphosis
GR-17124 Athens
GR-15343 Athens
GR-15124 Athens
GR-11744 Athens
GR-13123 Athens
GR-14564 Athens
GR-15234 Athens
Athens
GR-14231 Athens";"GR
GR
GR
GR
GR
GR
GR
GR
GR
GR
GR
GR
GR";"London SE1 8ND";"GB";"London WC1X 8BT";"GB";"MOBILE DEVICE MARKETING AND ADVERTISING PLATFORMS, METHODS, AND SYSTEMS";""
"EP 2193204 A2 20100609";"20100609";"201023";"fr";"FR 0757955 20070928";"20070928";"20070928";"WO2009050372 20090423 [2009-17]";"FR2008051709 20080925 (fr)";"20080925";"";"";"";"C12N 15/88 (2006.01)
A61K 48/00 (2006.01)
A61K 47/24 (2006.01)
A61K 31/664 (2006.01)
A61K 45/06 (2006.01)
C07F 9/22 (2006.01)
A61K 31/7084 (2006.01)";"21300 Kranidi
F-45550 Saint Denis de l'Hôtel
F-45550 Saint Denis de l'Hôtel
F-29280 Locmaria-Plouzane
F-44000 Nantes";"GR
FR
FR
FR
FR";"29238 Brest Cedex 3
75794 Paris Cedex 16";"FR
FR";"75008 Paris";"FR";"NOVEL LIPOPHILIC COMPOSITIONS AND USES THEREOF";""
"EP 2193204 B1 20110831";"20110831";"201135";"fr";"FR 0757955 20070928";"20070928";"20070928";"WO2009050372 20090423 [2009-17]";"FR2008051709 20080925 (fr)";"20080925";"";"";"";"C12N 15/88 (2006.01)
A61K 48/00 (2006.01)
A61K 47/24 (2006.01)
A61K 31/664 (2006.01)
A61K 45/06 (2006.01)
C07F 9/22 (2006.01)
A61K 31/7084 (2006.01)";"21300 Kranidi
F-45550 Saint Denis de l'Hôtel
F-45550 Saint Denis de l'Hôtel
F-29280 Locmaria-Plouzane
F-44000 Nantes";"GR
FR
FR
FR
FR";"29238 Brest Cedex 3
75794 Paris Cedex 16";"FR
FR";"75009 Paris";"FR";"COMPOSITIONS COMPRISING LIPOPHOSPHORAMIDES AND THEIR USES IN GENE THERAPY";""
"EP 2194907 A1 20100616";"20100616";"201024";"en";"US 966428 P 20070827";"20070827";"20070827";"WO2009027778 20090305 [2009-10]";"IB2008002009 20080801 (en)";"20080801";"";"";"";"A61B 19/02 (2006.01)
A61B 19/08 (2006.01)
A61B 19/10 (2006.01)
A61F 13/00 (2006.01)
A61F 13/02 (2006.01)
A61F 15/00 (2006.01)
A61M 25/02 (2006.01)";"11521 Athens";"GR";"Limassol";"CY";"";"";"CATHETER CLIP";""
"EP 2194907 B1 20121010";"20121010";"201241";"en";"US 966428 P 20070827";"20070827";"20070827";"WO2009027778 20090305 [2009-10]";"IB2008002009 20080801 (en)";"20080801";"";"";"";"A61B 19/02 (2006.01)
A61B 19/08 (2006.01)
A61B 19/10 (2006.01)
A61F 13/00 (2006.01)
A61F 13/02 (2006.01)
A61F 15/00 (2006.01)
A61M 25/02 (2006.01)";"11521 Athens";"GR";"Limassol";"CY";"81675 München";"DE";"CATHETER CLIP";""
"EP 2195928 A2 20100616";"20100616";"201024";"en";"EP 07301370 20070914";"20070914";"20070914";"WO2009034561 20090319 [2009-12]";"IB2008055613 20080915 (en)";"20080915";"";"";"";"H03M 13/11 (2006.01)";"412 22 Larisa";"GR";"75015 Paris";"FR";"92794 Issy Moulineaux Cedex 9";"FR";"ENCODING METHOD AND DEVICE FOR TAIL-BITING TRELLIS LDPC CODES";""
"EP 2195928 B1 20110202";"20110202";"201105";"en";"EP 07301370 20070914";"20070914";"20070914";"WO2009034561 20090319 [2009-12]";"IB2008055613 20080915 (en)";"20080915";"";"";"";"H03M 13/11 (2006.01)";"412 22 Larisa";"GR";"75015 Paris";"FR";"92794 Issy Moulineaux Cedex 9";"FR";"ENCODING METHOD AND DEVICE FOR TAIL-BITING TRELLIS LDPC CODES";""
"EP 2195994 A1 20100616";"20100616";"201024";"en";"";"";"20070928";"WO2009039891 20090402 [2009-14]";"EP2007060328 20070928 (en)";"20070928";"";"";"";"H04L 29/06 (2006.01)";"52477 Alsdorf
GR-54621 Thessaloniki";"DE
GR";"164 83 Stockholm";"SE";"52134 Herzogenrath";"DE";"METHOD OF CONTROLLING A COMMUNICATION DEVICE";""
"EP 2196396 A1 20100616";"20100616";"201024";"en";"US 229791 20020828";"20020828";"20020828";"";"";"";"";"";"";"B65B 27/06 (2006.01)
B29B 17/00 (2006.01)";"Hillsborough, NJ 08844
Hillsborough, NJ 08844";"US
US";"Hillsborough, NJ 08844
Hillsborough, NJ 08844";"US
US";"106 72 Athens";"GR";"Method for individual tire recycling";"The method of the present invention for handling scrap tires, includes a step of pinching the tires to maintain the compacted tire in the compacted form and prevent the compacted tire from regaining its original shape. The compacted tires can be pinched at one or more locations to form an indentation at each location and a coupling element can be inserted at the indentation. Before compacting the tires, the tire can be marked with a unique identifier assigned to every tire generator. By marking the scrap tires with a unique identifier, the scrap tires can be tracked on their way to the final destination. The compacting apparatus provides volume reduction of the scrap tires individually into a form that can have a reduction of at least fifty percent of original cubic volume. The collected tires can be transported with much more weight efficient loads of the tires to a transfer station, a recycling facility, or an end user. <img file=""imgaf001.tif"" he=""70"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""107""/>"
"EP 2196396 B1 20131016";"20131016";"201342";"en";"US 229791 20020828";"20020828";"20020828";"";"";"";"";"";"";"B65B 27/06 (2006.01)
B29B 17/00 (2006.01)";"Hillsborough, NJ 08844
Hillsborough, NJ 08844";"US
US";"Hillsborough, NJ 08844
Hillsborough, NJ 08844";"US
US";"106 72 Athens";"GR";"Method for individual tire recycling";""
"EP 2199798 A1 20100623";"20100623";"201025";"en";"";"";"20081218";"";"";"";"";"";"";"G01N 33/574 (2006.01)";"1080 Bruxelles
54644 Thessaloniki";"BE
GR";"1050 Brussels";"BE";"1082 Bruxelles";"BE";"Diagnostic method and kit of circulating tumor cells";"The present invention is related to a method and a diagnostic kit for an improved detection (diagnosis) of early breast cancer by combining screening mammography together with HER2-positive circulating tumor cells (CTCs) possibly present in a mammal subject (including a human patient)."
"EP 2199820 A2 20100623";"20100623";"201025";"en";"GB 0823236 20081222";"20081222";"20081222";"";"";"";"";"";"";"G01S 5/14 (2006.01)";"171 22, Nea Smyrni";"GR";"Newbury, Berkshire RG14 2FN";"GB";"Newbury Berkshire RG14 2FN";"GB";"Terminal positioning technique";"A technique of estimating the location of a mobile terminal in a mobile communications network having a plurality of base stations, including: determining at least one signal parameter measurement for the mobile terminal in relation to each of the plurality of base stations; using the determined signal parameter measurements to obtain a first distance estimation of the location of the mobile terminal from each of the plurality of base stations; and using at least one estimator to obtain a positional estimation of the mobile terminal. The estimators are statistical estimators that can be applied to a distance estimation of the mobile terminal from each of the base stations and/or applied to a triangulation estimation of the actual position of the mobile terminal, based upon estimated distances of the mobile terminal from the plurality of base stations. Preferably the signal parameter measured is the Received Signal Strength. <img file=""imgaf001.tif"" he=""99"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""141""/>"
"EP 2199820 A3 20101208";"20101208";"201049";"en";"GB 0823236 20081222";"20081222";"20081222";"";"";"";"";"";"";"G01S 11/06 (2006.01)";"171 22, Nea Smyrni";"GR";"Newbury, Berkshire RG14 2FN";"GB";"Newbury Berkshire RG14 2FN";"GB";"Terminal positioning technique";"A technique of estimating the location of a mobile terminal in a mobile communications network having a plurality of base stations, including: determining at least one signal parameter measurement for the mobile terminal in relation to each of the plurality of base stations; using the determined signal parameter measurements to obtain a first distance estimation of the location of the mobile terminal from each of the plurality of base stations; and using at least one estimator to obtain a positional estimation of the mobile terminal. The estimators are statistical estimators that can be applied to a distance estimation of the mobile terminal from each of the base stations and/or applied to a triangulation estimation of the actual position of the mobile terminal, based upon estimated distances of the mobile terminal from the plurality of base stations. Preferably the signal parameter measured is the Received Signal Strength. <img file=""imgaf001.tif"" he=""86"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""125""/>"
"EP 2199820 B1 20130821";"20130821";"201334";"en";"GB 0823236 20081222";"20081222";"20081222";"";"";"";"";"";"";"G01S 11/06 (2006.01)
G01S 5/14 (2006.01)";"171 22, Nea Smyrni";"GR";"Newbury, Berkshire RG14 2FN";"GB";"Newbury Berkshire RG14 2FN";"GB";"Terminal positioning technique";""
"EP 2203049 A2 20100707";"20100707";"201027";"en";"US 994243 P 20070917
US 5840 20071207";"20070917
20071207";"20070917";"WO2009038731 20090326 [2009-13]";"US2008010834 20080917 (en)";"20080917";"";"";"";"A01N 29/04 (2006.01)
A01N 29/10 (2006.01)";"Dobbs Ferry NY 10522
Manlius NY 13104
New York NY 10027
New York NY 10024
GR-544 54 Thessaloniki";"US
US
US
US
GR";"New York, NY 10027";"US";"D-80538 München";"DE";"SYNTHESIS OF RESVERATROL-BASED NATURAL PRODUCTS";""
"EP 2211721 A1 20100804";"20100804";"201031";"en";"US 988838 P 20071119
US 992111 P 20071204
US 77150 20080630";"20071119
20071204
20080630";"20071119";"WO2009067428 20090528 [2009-22]";"US2008083864 20081118 (en)";"20081118";"";"";"";"A61B 6/03 (2006.01)
A61B 5/055 (2006.01)
H01B 5/00 (2006.01)";"";"";"635 West 42nd Street, 18a New York, NY 10036";"US";"106 72 Athens";"GR";"PATIENT POSITIONING SYSTEM AND METHODS FOR DIAGNOSTIC RADIOLOGY AND RADIOTHERAPY";""
"EP 2212838 A1 20100804";"20100804";"201031";"en";"US 986411 P 20071108
US 41960 20080403";"20071108
20080403";"20071108";"WO2009061793 20090514 [2009-20]";"US2008082447 20081105 (en)";"20081105";"";"";"";"G06Q 10/00 (2006.01)";"Baltimore, MD 21237";"US";"Baltimore, MD 21237";"US";"GR-106 72 Athens";"GR";"APPARATUS AND METHOD FOR SELF-CONTAINED INSPECTION OF SHIPPING CONTAINERS";""
"EP 2214513 A1 20100811";"20100811";"201032";"en";"US 873904 20071017";"20071017";"20071017";"WO2009051890 20090423 [2009-17]";"US2008073698 20080820 (en)";"20080820";"";"";"";"A23L 1/10 (2006.01)
A23L 1/16 (2006.01)
A23G 3/00 (2006.01)";"GR-173 41 Athens
Plano TX 75025";"GR
US";"Plano, TX 75024-4099";"US";"John Street London WC1N 2BF";"GB";"RICE SNACK CHIP WITH HIGH RATE OF VISUAL INCLUSIONS MADE ON TORTILLA SHEETING EQUIPMENT";""
"EP 2216019 A2 20100811";"20100811";"201032";"en";"GB 0504544 20050304";"20050304";"20050304";"";"";"";"";"";"";"A61K 31/13 (2006.01)
A61P 27/02 (2006.01)";"10676, Athens
75014, Paris";"GR
FR";"4056 Basel
1230 Wien";"CH
AT";"4002 Basel";"CH";"Ophthalmic uses of S1P receptor modulators";"The present invention pertains to the use of a S1 P receptor agonist in the manufacture of a medicament in the treatment of an ocular disorder."
"EP 2216019 A3 20101117";"20101117";"201046";"en";"GB 0504544 20050304";"20050304";"20050304";"";"";"";"";"";"";"A61K 31/13 (2006.01)
A61P 27/02 (2006.01)";"10676, Athens
75014, Paris";"GR
FR";"4056 Basel
1230 Wien";"CH
AT";"4002 Basel";"CH";"Ophthalmic uses of S1P receptor modulators";"The present invention pertains to the use of a S1 P receptor agonist in the manufacture of a medicament in the treatment of an ocular disorder."
"EP 2217955 A1 20100818";"20100818";"201033";"en";"US 991368 P 20071130";"20071130";"20071130";"WO2009073404 20090611 [2009-24]";"US2008084310 20081121 (en)";"20081121";"";"";"";"G02B 6/125 (2006.01)
G02B 6/138 (2006.01)";"Cambridge CB2 1ST
GR-712 01 Heraklion Crete
Hertfordshire CN23 2TG
Midland MI 48642
Royston SG8 0QF
Cambridge CB3 8AH
Cambridge CB3 0EQ";"GB
GR
GB
US
GB
GB
GB";"Midland, MI 48686-0994
Cambridge CB2 1QA";"US
GB";"Bristol BS1 6HU";"GB";"AN INTEGRATED PLANAR POLYMER WAVEGUIDE FOR LOW-LOSS, LOW-CROSSTALK OPTICAL SIGNAL ROUTING";""
